,player_id,player,position,team,salary,roster_id
142,7961,Jose Borregales,K,TB,0,999
143,7890,Javon McKinley,WR,DET,0,999
144,3286,Demarcus Robinson,WR,KC,0,999
145,6906,Antonio Gandy-Golden,WR,WAS,0,999
146,2537,Mario Alford,WR,,0,999
147,5808,Connor Jessop,QB,,0,999
148,386,Brandon Lloyd,WR,,0,999
149,4330,JoJo Natson,WR,CLE,0,999
150,659,Cedric Peerman,RB,,0,999
151,3804,Darrin Peterson,WR,,0,999
152,7100,Derrick Dillon,WR,NYG,0,999
153,5425,John Diarse,WR,,0,999
154,2142,Rajion Neal,RB,,0,999
155,5785,James Butler,RB,,0,999
156,7915,Landen Akers,WR,LAR,0,999
157,3653,Brandon Williams,TE,,0,999
158,7559,Ihmir Smith-Marsette,WR,MIN,0,999
159,3570,Brandon Ross,RB,,0,999
160,7063,Shea Patterson,QB,,0,999
161,8068,C.J. Saunders,WR,CAR,0,999
162,92,Andre Johnson,WR,,0,999
163,1200,Austin Davis,QB,,0,999
164,3461,Russell Hansbrough,RB,,0,999
165,5800,Justin Stockton,RB,,0,999
166,1967,Seth Lobato,QB,,0,999
167,143,John Carlson,TE,,0,999
168,6203,Valentine Holmes,RB,,0,999
169,7992,Matt Bushman,TE,LV,0,999
170,2011,Juwan Thompson,RB,,0,999
171,4665,Eli Jenkins,QB,LAC,0,999
172,4504,John Robinson-Woodgett,RB,,0,999
173,380,Rashad Jennings,RB,,0,999
174,1166,Kirk Cousins,QB,MIN,0,999
175,3475,Keyarris Garrett,WR,,0,999
176,1792,Kadron Boone,WR,,0,999
177,7105,Ramiz Ahmed,K,,0,999
178,2088,Andre Williams,RB,,0,999
179,6153,Dexter Williams,RB,GB,0,999
180,1137,Juron Criner,WR,,0,999
181,5251,Tyler Davis,K,,0,999
182,7622,Sammis Reyes,TE,WAS,0,999
183,3470,Paul McRoberts,WR,,0,999
184,6779,Jordan Harris,WR,LAR,0,999
185,3644,Lawrence Thomas,RB,,0,999
186,1833,Damien Williams,RB,CHI,0,999
187,1495,Ryan Nassib,QB,,0,999
188,6443,Eric Dungey,QB,CIN,0,999
189,78,Ahmad Bradshaw,RB,,0,999
190,3686,Joe Sommers,TE,,0,999
191,6926,Brycen Hopkins,TE,LAR,0,999
192,1299,Kyle Miller,TE,,0,999
193,904,DeMarco Murray,RB,,0,999
194,661,Alex Smith,TE,,0,999
195,2582,Cole Stoudt,QB,,0,999
196,7084,Jake Luton,QB,JAX,0,999
197,761,Brian St Pierre,QB,,0,999
198,6039,Ty Johnson,RB,NYJ,0,999
199,5833,Kevin O'Connell,QB,,0,999
200,6139,Jace Sternberger,TE,GB,0,999
201,6985,Dezmon Patmon,WR,IND,0,999
202,2410,Jamison Crowder,WR,NYJ,0,8
203,8070,Travis Toivonen,WR,SEA,0,999
204,87,Jeff King,TE,,0,999
205,1903,Taylor Gabriel,WR,,0,999
206,222,Josh Morgan,WR,,0,999
207,5806,John Wolford,QB,LAR,0,999
208,4930,Franko House,TE,CHI,0,999
209,3209,Devontae Booker,RB,NYG,0,9
210,4699,Kevin Snead,WR,,0,999
211,4821,Jamari Staples,WR,,0,999
212,928,Randall Cobb,WR,GB,0,10
213,7954,Connor Wedington,WR,SEA,0,999
214,24,Matt Ryan,QB,ATL,0,10
215,1126,Brock Osweiler,QB,,0,999
216,2561,Anthony Boone,QB,,0,999
217,2485,Kaelin Clay,WR,,0,999
218,2185,Corey Brown,WR,,0,999
219,1050,Marcus Thigpen,WR,,0,999
220,5624,Keith Ford,RB,,0,999
221,2845,Tevin Westbrook,TE,,0,999
222,138,Ben Roethlisberger,QB,PIT,0,1
223,3214,Hunter Henry,TE,NE,0,6
224,2191,Marcus Lucas,WR,,0,999
225,2408,Bryce Petty,QB,,0,999
226,2913,Gavin Lutman,WR,,0,999
227,1296,Cory Harkey,TE,,0,999
228,7604,Tamorrion Terry,WR,SEA,0,999
229,7617,Matt Ammendola,K,NYJ,0,999
230,5391,Steven Dunbar,WR,,0,999
231,6700,Marcelias Sutton,RB,SEA,0,999
232,4941,Dontre Wilson,WR,LAC,0,999
233,96,Aaron Rodgers,QB,GB,0,4
234,2121,T.J. Jones,WR,,0,999
235,7584,Brennan Eagles,WR,DAL,0,999
236,4924,Zach Terrell,QB,BAL,0,999
